
This file was downloaded on 2021-10-19T04:14:35 UTC from snrcat.physics.umanitoba.ca
G;id_uncertain;id_new;id_alt;id_old;type;type_uncertain;context;remnant;SN_year;SN_association;age_min (yr);age_max (yr);distance_min (kpc);distance_max (kpc);size_coarse (arcmin);size_imprecise;size_radio;size_X;J2000_ra (hh:mm:ss);J2000_dec (dd:mm:ss);J2000_from
G011.0-00.0;;;;G11.0+0.0, G11.03-0.05;shell;1;contains PWN G11.03-0.05??;eje,PWN?;;;;;2.4;3.7;10;;11'x9';;18:10:04;-19:25:00;Green J coord
G011.1+00.1;;;;G11.18+0.11;plerionic composite;1;contains PSR J1809-1917 + PWN G11.09+0.08, close to SNR G11.2-0.3 with PSR J1811-1925 = the Turtle + PWN G11.18-0.35, close to PSR J1809-1943;eje,PSR,PWN;;;;;;;11;;12'x10';6.8';18:09:47;-19:12:00;Green J coord
G011.1-00.7;;;;G11.15-0.71;shell;;;eje;;;;;;;8.8;;11'x7';;18:12:46;-19:38:00;Green J coord
G011.1-01.0;;;;G11.2-1.1, G11.17-1.04;shell;;;eje;;;;;;;15;;18'x12';;18:14:03;-19:46:00;Green J coord
G011.2-00.3;;;;;plerionic composite;;contains PSR J1811-1925 = the Turtle + PWN G11.18-0.35, close to SNR G11.1-1.0 with PSR J1809-1917 + PWN G11.09+0.08, close to PSR J1809-1943;eje,PSR,PWN;386;suggested;1400;2400;5;10;4;;4';;18:11:29;-19:25:25;NS J coord
G011.4-00.1;;;;;shell;1;;eje;;;;;;;8;;8';;18:10:47;-19:05:00;Green J coord
G011.8-00.2;;;;G11.89-0.21;shell;;;eje;;;;;;;4;;4';;18:12:25;-18:44:00;Green J coord
G012.0-00.1;;;;;shell;1;;eje;;;;;;;7;;7';;18:12:11;-18:37:00;Green J coord
G012.2+00.3;;;;G12.26+0.30;shell;;;eje;;;;;;;5.5;;6'x5';;18:11:17;-18:10:00;Green J coord
G012.5+00.2;;;;G12.58+0.22;plerionic composite;1;;eje?;;;;;;;5.5;;6'x5';;18:12:14;-17:55:00;Green J coord
G012.7-00.0;;;;G12.72-0.00;shell;;;eje;;;;;;;6;;6';;18:13:19;-17:54:00;Green J coord
G012.8-00.0;;;W33;G12.82-0.02, G12.83-0.02;plerionic composite;;close to W33 complex, contains PSR J1813-1749 + PWN G12.82-0.02;eje,PSR?,PWN?;;;1200;1200;4;;3;;3';;18:13:37;-17:49:00;Green J coord
G013.3-01.3;;;;G13.46+0.16;shell;1;;eje?;;;;;2;4;53;1;70'x40';;18:19:20;-18:00:00;Green J coord
G013.5+00.2;;;;;shell;;;eje;;;;;;;4.5;;5'x4';;18:14:14;-17:12:00;Green J coord
G014.1-00.1;;;;G14.18-0.12;shell;;;eje;;;;;;;5.5;;6'x5';;18:16:40;-16:41:00;Green J coord
G014.3+00.1;;;;G14.30+0.14;shell;;;eje;;;;;;;4.5;;5'x4';;18:15:58;-16:27:00;Green J coord
G015.1-01.6;;;;;shell;;;eje;;;;;2.1;2.2;27;;30'x24';;18:24:00;-16:34:00;Green J coord
G015.4+00.1;;;;G15.42+0.18;plerionic composite;1;contains PWN?;eje,PWN?;;;2500;8200;4.8;9.3;15;;15'x14';;18:18:02;-15:27:00;Green J coord
G015.9+00.2;;;;;shell;1;contains CXOU J181852.0-150213 = CCO;eje,NS;;;1000;3000;7;16;5.9;;7'x5';;18:18:52;-15:02:00;Green J coord
G016.0-00.5;;;;G16.05-0.57;shell;;;eje;;;;;;;12;;15'x10';;18:21:56;-15:14:00;Green J coord
G016.2-02.7;;;;;shell;;;eje;;;;;;;17;;17';;18:29:40;-16:08:00;Green J coord
G016.4-00.5;;;;G16.41-0.55;shell;;;eje;;;;;;;13;;13';;18:22:38;-14:55:00;Green J coord
G016.7+00.1;;;;G16.73+0.08;plerionic composite;;contains PWN G16.73+0.08, and PSR?;eje,PSR?,PWN;;;2100;2100;14;14;4;;4';;18:20:56;-14:20:00;Green J coord
G017.0-00.0;;;;G17.02-0.04;shell;;;eje;;;;;;;5;;5';;18:21:57;-14:08:00;Green J coord
G017.4-00.1;;;;G17.48-0.12;shell;;;eje;;;;;;;6;;6';;18:23:08;-13:46:00;Green J coord
